seed,adapt_regime,adapt_x,adapt_y,adapt_allzero_rate,probe_id,probe_x,probe_y,input_overlap,hidden_overlap,initial_default_rate,initial_p0,routing_at_risk,init_success,routing_collapse_step,behavior_collapse_step,final_default_rate,final_p0,final_success
4122,T5,7.0,5.0,1.0,4,8.0,2.0,0.7071068286895752,0.8392689228057861,0.0,6.622847409376575e-11,1,1.0,80,60,1.0,0.9880607724189758,0.0
4122,T5,7.0,5.0,1.0,5,2.0,3.5,-0.8300486207008362,0.6342533826828003,0.5555555555555556,0.5605945587158203,0,1.0,nan,100,1.0,0.999999463558197,0.0
4122,T5,7.0,5.0,1.0,6,4.0,3.5,-0.43162378668785095,0.6684316396713257,1.0,0.9944976568222046,0,1.0,nan,301,1.0,1.0,1.0
4122,T5,7.0,5.0,1.0,7,6.0,3.5,0.43162378668785095,0.8405462503433228,0.0,7.038683634164045e-06,1,1.0,40,60,1.0,1.0,0.0
4122,T5,7.0,5.0,1.0,8,8.0,3.5,0.9989917874336243,0.9395799040794373,0.0,5.538399600046873e-11,1,1.0,80,60,1.0,0.9696511626243591,0.0
4122,T5,7.0,5.0,1.0,9,2.799999952316284,2.799999952316284,-0.7071067690849304,0.6379435658454895,1.0,0.9934579133987427,0,1.0,nan,301,1.0,1.0,1.0
4122,T5,7.0,5.0,1.0,10,4.599999904632568,4.599999904632568,-0.7071068286895752,0.6517725586891174,1.0,0.9883119463920593,0,1.0,nan,301,1.0,1.0,1.0
4122,T5,7.0,5.0,1.0,11,2.0,5.0,-1.0,0.5905969738960266,0.0,0.0005382007220759988,1,0.0,40,301,1.0,0.9988830089569092,0.0
4122,T5,7.0,5.0,1.0,12,4.0,5.0,-1.0,0.605226457118988,0.0,4.724344034912065e-05,1,1.0,60,301,1.0,0.9889845848083496,1.0
4122,T5,7.0,5.0,1.0,13,6.0,5.0,1.0,1.0000001192092896,0.0,4.992517119717377e-07,1,0.0,30,301,1.0,1.0,0.0
4122,T5,7.0,5.0,1.0,14,8.0,5.0,1.0,1.0000001192092896,0.0,4.992517119717377e-07,1,0.0,30,301,1.0,1.0,0.0
4122,T5,7.0,5.0,1.0,15,2.0,6.5,-0.8429762721061707,0.552483856678009,0.0,2.832150869380712e-07,1,1.0,301,301,0.21428571428571427,0.22604452073574066,1.0
4122,T5,7.0,5.0,1.0,16,4.0,6.5,0.47611096501350403,0.8285291790962219,0.0,1.863329629481214e-11,1,0.0,100,301,0.88,0.8373942375183105,1.0
4122,T5,7.0,5.0,1.0,17,6.0,6.5,0.43162378668785095,0.8446178436279297,0.0,6.2387390108056655e-15,1,1.0,150,100,0.5,0.41553881764411926,0.0
4122,T5,7.0,5.0,1.0,18,8.0,6.5,0.9989917874336243,0.9664117097854614,0.0,1.9392548276844085e-13,1,1.0,80,60,1.0,0.9996915459632874,0.0
4122,T5,7.0,5.0,1.0,19,2.0,8.0,-0.7071068286895752,0.5208062529563904,0.0,8.925425676320486e-11,1,1.0,301,301,0.0,0.00017630540241952986,1.0
4122,T5,7.0,5.0,1.0,20,3.5,8.0,0.10496647655963898,0.7292087078094482,0.0,1.5851896618263028e-12,1,0.0,301,301,0.0,0.021087810397148132,0.0
4122,T5,7.0,5.0,1.0,21,5.0,8.0,0.4899083971977234,0.8337733745574951,0.0,5.685970791424744e-12,1,0.0,150,301,0.92,0.8418055176734924,0.0
4122,T5,7.0,5.0,1.0,22,6.5,8.0,0.01900651305913925,0.7348117232322693,0.0,2.804020780266392e-16,1,0.0,301,301,0.02,0.019374944269657135,0.0
4122,T5,7.0,5.0,1.0,23,8.0,8.0,0.7071068286895752,0.9011890292167664,0.0,8.322527305444812e-15,1,1.0,300,100,0.5,0.4507649540901184,0.0
4122,T6,5.0,3.0,1.0,0,2.0,2.0,0.49348703026771545,0.8291845917701721,1.0,0.9953542947769165,0,1.0,nan,301,1.0,1.0,1.0
4122,T6,5.0,3.0,1.0,1,3.0,2.0,0.8823575377464294,0.9307265281677246,0.9,0.8596681356430054,0,1.0,nan,30,1.0,1.0,0.0
4122,T6,5.0,3.0,1.0,2,5.0,2.0,0.9706972241401672,0.9922270178794861,0.0,0.0005172986420802772,1,0.0,20,301,1.0,1.0,0.0
4122,T6,5.0,3.0,1.0,3,7.0,2.0,0.9991602301597595,0.9845238327980042,0.1,0.05096891522407532,1,1.0,40,60,1.0,0.9999998211860657,0.0
4122,T6,5.0,3.0,1.0,4,8.0,2.0,0.8697531819343567,0.9231662154197693,0.0,6.622847409376575e-11,1,1.0,80,60,1.0,0.9162448644638062,0.0
4122,T6,5.0,3.0,1.0,5,2.0,3.5,0.31674671173095703,0.7810690999031067,0.5555555555555556,0.5605945587158203,0,1.0,nan,301,1.0,0.9999970197677612,1.0
4122,T6,5.0,3.0,1.0,6,4.0,3.5,0.7547024488449097,0.9032182097434998,1.0,0.9944976568222046,0,1.0,nan,301,1.0,1.0,1.0
4122,T6,5.0,3.0,1.0,7,6.0,3.5,0.9843783378601074,0.9840457439422607,0.0,7.038683634164045e-06,1,1.0,30,60,1.0,0.9999999403953552,0.0
4122,T6,5.0,3.0,1.0,8,8.0,3.5,0.30906668305397034,0.827204704284668,0.0,5.538399600046873e-11,1,1.0,301,60,0.45454545454545453,0.4460502564907074,0.0
4122,T6,5.0,3.0,1.0,9,2.799999952316284,2.799999952316284,0.49348703026771545,0.8353133797645569,1.0,0.9934579133987427,0,1.0,nan,301,1.0,1.0,1.0
4122,T6,5.0,3.0,1.0,10,4.599999904632568,4.599999904632568,0.49348703026771545,0.8510927557945251,1.0,0.9883119463920593,0,1.0,nan,301,1.0,1.0,1.0
