seed,adapt_regime,probe_id,input_overlap,hidden_overlap,collapse_step,collapsed
5100,A9,4,-0.006271039601415396,0.6638553142547607,60,1
5100,A9,5,-0.11858734488487244,0.6776362061500549,80,1
5100,A9,6,0.2626536786556244,0.6982033252716064,100,1
5100,A9,10,-0.49655619263648987,0.5851024985313416,40,1
5100,A9,11,0.04742567986249924,0.6721709370613098,80,1
5100,A9,12,0.2626536786556244,0.694557785987854,100,1
5100,A9,13,0.6749380230903625,0.8568634986877441,100,1
5100,A9,17,-0.49655619263648987,0.5840713977813721,50,1
5100,A9,18,0.2626536786556244,0.6892061233520508,80,1
5100,A9,19,0.9829772710800171,0.9866713881492615,30,1
5100,A9,20,0.9581425189971924,0.9731051325798035,40,1
5100,A9,25,0.9983847141265869,0.9969573020935059,35,1
5100,A9,26,0.9983233213424683,0.999111533164978,35,1
5100,A9,27,0.9999707937240601,0.9980967044830322,30,1
5100,A9,28,-0.8950273394584656,0.3585314154624939,5,1
5100,A9,29,-0.7234261631965637,0.43047329783439636,35,1
5100,A9,30,-0.2626536786556244,0.5810703039169312,301,0
5100,A9,31,0.325740247964859,0.7857723236083984,35,1
5100,A9,32,0.96489018201828,0.9476490616798401,50,1
5100,A9,33,0.9812520742416382,0.9924483299255371,40,1
5100,A9,34,0.9475224614143372,0.9871715903282166,40,1
5100,A9,35,-0.6749380230903625,0.4314732849597931,60,1
5100,A9,36,-0.2626536786556244,0.5657429099082947,301,0
5100,A9,37,0.2736724615097046,0.7230461835861206,80,1
5100,A9,38,0.3903568983078003,0.7777462601661682,50,1
5100,A9,39,0.5759409070014954,0.8427032828330994,50,1
5100,A9,40,0.96489018201828,0.9436612725257874,50,1
5100,A9,41,0.9395270347595215,0.9799395799636841,50,1
5100,A9,42,-0.2626536786556244,0.5533093810081482,301,0
5100,A9,43,0.20781223475933075,0.665368378162384,100,1
5100,A9,44,0.545470118522644,0.7411889433860779,60,1
5100,A9,45,0.34482404589653015,0.7584652900695801,60,1
5100,A9,46,0.385429710149765,0.7928128838539124,60,1
5100,A9,47,0.6744877696037292,0.8630557060241699,50,1
5100,A9,48,0.96489018201828,0.9375385046005249,50,1
5100,A10,2,-0.8664434552192688,0.48654210567474365,5,1
5100,A10,3,-0.4899083971977234,0.610755443572998,30,1
5100,A10,4,0.0013709794729948044,0.6859205365180969,60,1
5100,A10,5,-0.11099578440189362,0.6980054974555969,80,1
5100,A10,6,0.27001968026161194,0.7158219218254089,100,1
5100,A10,10,-0.4899083971977234,0.6088207364082336,40,1
5100,A10,11,0.05505768209695816,0.6918075680732727,80,1
5100,A10,12,0.27001968026161194,0.7118526101112366,100,1
5100,A10,13,0.680557131767273,0.8684091567993164,80,1
5100,A10,17,-0.4899083971977234,0.6069079637527466,50,1
5100,A10,18,0.27001968026161194,0.7060653567314148,80,1
5100,A10,19,0.9843525290489197,0.9926685094833374,30,1
5100,A10,20,0.9603023529052734,0.981347382068634,40,1
5100,A10,25,0.9987896680831909,0.9918017387390137,40,1
5100,A10,26,0.9987365007400513,0.9951056838035583,40,1
5100,A10,27,0.9999999403953552,0.9999999403953552,30,1
5100,A10,28,-0.8984096050262451,0.3672475814819336,5,1
5100,A10,29,-0.7286810874938965,0.43441373109817505,40,1
5100,A10,30,-0.27001968026161194,0.573494553565979,301,0
5100,A10,31,0.31850555539131165,0.7689195871353149,40,1
5100,A10,32,0.9628548622131348,0.9332273602485657,50,1
5100,A10,33,0.9826962351799011,0.9843932390213013,40,1
5100,A10,34,0.9499377608299255,0.9807643294334412,50,1
5100,A10,35,-0.680557131767273,0.43254560232162476,100,1
5100,A10,36,-0.27001968026161194,0.5573492646217346,301,0
5100,A10,37,0.26631423830986023,0.7058672904968262,80,1
5100,A10,38,0.3833097815513611,0.7580251693725586,60,1
5100,A10,39,0.5696768164634705,0.8224840760231018,50,1
5100,A10,40,0.9628548622131348,0.9274680018424988,50,1
